date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2001-01-01,NASDAQ,1174.96,1223.99,1262.17,1138.51,425140770,8.05,8.22,7.47,3.23,91,12131,1985,1.41,131.06,65.21,1889.44,350.1,8630,2.8,25,23.75,13657,2001
2001-01-02,Dow Jones,1492.01,1503.14,1525.51,1471.03,386307434,8.39,1.23,9.66,6.8,99,24749,3045,1.24,97.71,52.38,1063.14,102.21,7563,9.17,22,23.99,7243,2001
2001-01-03,NASDAQ,3234.57,3221.67,3274.06,3172.6,299894690,4.66,3.74,9.85,5.27,80,11059,1328,1.31,91.91,74.4,1190.78,255.07,3797,9.48,17,56.77,9978,2001
2001-01-04,Dow Jones,2372.67,2399.89,2430.81,2355.2000000000003,623148811,2.88,6.61,5.8,3.68,114,4794,294,1.17,130.53,41.08,1733.85,131.18,3933,8.1,44,79.03,7475,2001
2001-01-05,NASDAQ,3916.69,3883.74,3922.34,3837.65,660842336,-0.03,6.52,13.97,8.35,102,10156,3787,1.1,100.89,61.56,1462.97,395.46,4550,6.59,45,26.03,9980,2001
2001-01-06,Dow Jones,3609.17,3597.62,3616.99,3550.97,500805027,9.7,8.6,13.9,7.41,89,27268,1525,1.28,95.57,121.12,2066.84,372.61,5287,3.76,39,21.08,4823,2001
2001-01-07,Dow Jones,4382.42,4367.12,4404.27,4355.03,62848013,-0.2,1.4,7.1,4.24,88,13870,3919,1.48,95.02,48.03,1792.07,119.89,6392,4.34,40,47.45,6444,2001
2001-01-08,NASDAQ,3769.97,3763.15,3789.81,3723.24,963052845,6.16,4.3,7.65,8.55,59,18614,2793,0.82,90.39,143.12,1448.27,476.5,345,4.55,44,13.51,11544,2001
2001-01-09,NASDAQ,2719.72,2747.9,2785.0799999999995,2698.07,183080684,2.98,0.97,11.13,9.24,78,8649,3853,1.02,109.88,84.08,1355.44,483.98,5895,9.49,48,74.81,480,2001
2001-01-10,NASDAQ,3691.87,3690.29,3720.91,3644.41,280249196,4.13,3.9,10.62,5.6,89,14978,2071,1.03,98.27,33.9,2352.51,233.87,9278,7.6,37,57.78,10222,2001
2001-01-11,S&P 500,2101.52,2130.92,2150.33,2079.01,955372695,0.9,0.15,6.97,2.54,79,28370,599,1.09,142.57,142.6,868.14,152.25,8938,2.92,9,51.3,10108,2001
2001-01-12,S&P 500,2225.25,2232.9,2241.44,2188.03,938275278,9.47,8.98,7.39,9.2,51,1623,4214,1.24,128.24,79.37,1974.75,145.74,7136,6.25,42,87.24,6146,2001
2001-01-13,S&P 500,4155.94,4140.15,4167.28,4116.799999999999,632029598,3.58,5.27,6.52,2.3,77,24077,3873,1.16,132.07,92.41,1466.23,436.29,8735,5.94,9,73.28,13585,2001
2001-01-14,Dow Jones,2785.68,2816.68,2845.46,2774.29,595104848,9.07,8.5,5.06,0.96,96,21505,3747,0.81,108.25,44.08,1441.51,283.67,5403,8.12,20,15.01,13054,2001
2001-01-15,NASDAQ,4193.52,4167.35,4214.6900000000005,4157.38,315112139,-4.89,0.6,7.96,3.61,81,18372,2966,1.09,122.01,63.33,1908.19,103.8,8578,0.95,37,42.1,11682,2001
2001-01-16,Dow Jones,4289.69,4262.129999999999,4315.44,4240.859999999999,72716605,3.59,2.27,10.92,7.41,81,17148,786,1.23,115.06,111.47,2245.79,470.14,6939,7.01,37,32.19,1238,2001
2001-01-17,S&P 500,4430.25,4430.7,4439.23,4392.48,977994581,5.76,2.59,11.65,9.27,76,15866,2167,1.15,91.72,36.12,2031.5,337.09,9140,3.31,46,80.23,6546,2001
2001-01-18,NASDAQ,4666.54,4642.62,4699.69,4612.37,267039958,6.18,3.87,12.13,6.55,103,18913,4021,1.41,83.35,94.16,1939.19,376.16,9800,1.3,6,71.93,241,2001
2001-01-19,Dow Jones,2723.94,2674.85,2766.57,2640.42,272709529,8.57,8.03,6.87,9.54,105,7374,547,1.08,127.85,110.16,1643.54,429.42,434,7.32,11,47.25,14202,2001
2001-01-20,NASDAQ,2275.47,2290.3,2303.2,2261.35,453415309,-4.93,3.87,11.94,1.38,80,26319,1866,0.81,88.48,20.24,1597.6,427.43,986,3.32,40,82.38,4723,2001
2001-01-21,Dow Jones,3328.79,3329.9,3354.48,3304.72,613965515,-5.0,2.05,2.08,1.08,73,4266,1224,1.0,84.01,128.88,1583.22,130.32,4367,7.3,32,41.07,5367,2001
2001-01-22,NASDAQ,2484.69,2479.24,2533.4700000000003,2477.0200000000004,29231793,2.08,0.65,8.2,6.24,84,9087,393,0.89,110.93,27.32,1047.26,329.6,974,1.62,24,80.37,1624,2001
2001-01-23,S&P 500,3404.3,3451.0,3467.66,3363.42,894416003,-4.56,0.79,12.32,9.68,79,7556,4260,0.98,131.66,52.1,1751.16,378.5,2666,9.86,27,3.3,13798,2001
2001-01-24,S&P 500,3822.34,3829.46,3859.21,3772.85,71694394,9.62,7.6,10.19,5.28,104,26556,2646,1.05,133.82,145.26,1336.29,134.25,1430,8.03,23,13.55,5993,2001
2001-01-25,NASDAQ,3753.62,3789.96,3794.47,3733.28,493537197,-1.67,4.45,8.16,0.99,113,8799,175,1.27,141.14,30.54,1850.99,188.96,1873,2.89,47,75.62,9344,2001
2001-01-26,Dow Jones,2498.21,2462.16,2528.51,2461.61,663250162,2.09,7.26,10.38,2.6,82,4063,3875,1.03,93.94,127.37,1708.37,258.33,8191,7.41,30,11.53,6503,2001
2001-01-27,S&P 500,1667.44,1674.36,1678.84,1658.95,756946108,-4.08,6.82,13.79,2.83,95,24955,2782,1.42,148.99,104.76,2397.87,454.61,3853,1.36,17,68.41,13348,2001
2001-01-28,S&P 500,2722.12,2758.92,2806.88,2689.49,867962828,2.83,1.35,9.36,3.71,82,11598,3296,1.01,133.42,97.79,1539.38,440.25,4606,6.53,22,72.39,12501,2001
2001-01-29,S&P 500,1570.38,1578.69,1614.47,1539.7800000000002,103246200,0.7,1.43,12.4,0.91,117,29807,2174,0.9,91.0,95.62,1929.48,412.84,1544,0.6,6,66.25,2155,2001
2001-01-30,NASDAQ,4560.39,4582.1900000000005,4621.6,4521.0,167664189,-4.33,7.55,14.75,9.1,113,8349,1399,0.92,138.85,41.64,1807.76,496.11,6730,3.33,49,81.84,3475,2001
2001-01-31,NASDAQ,2383.51,2370.71,2418.7200000000003,2358.02,222426486,0.03,7.21,11.17,5.4,79,14271,2827,1.45,114.93,106.95,1963.47,197.06,8073,9.78,7,51.21,14690,2001
2001-02-01,Dow Jones,1617.84,1577.08,1647.33,1538.9,890591633,0.87,3.78,9.45,6.87,78,6535,4278,1.12,84.66,143.71,1253.86,287.13,4695,1.21,14,89.71,14519,2001
2001-02-02,Dow Jones,1101.79,1097.58,1124.29,1063.1799999999998,897545642,9.85,0.77,2.49,1.14,111,15604,3634,1.08,89.24,30.01,1237.32,278.69,667,5.97,37,56.99,13407,2001
2001-02-03,Dow Jones,3583.29,3572.74,3626.21,3556.6,199770587,-1.88,0.12,6.87,1.01,79,28514,2153,0.85,110.37,63.21,1751.45,371.57,9989,0.71,27,50.84,7283,2001
2001-02-04,NASDAQ,3547.61,3584.32,3632.16,3520.34,117653925,3.17,2.88,9.35,6.07,61,8459,1799,1.31,117.14,81.39,2243.4,440.06,4864,6.69,26,50.99,3474,2001
2001-02-05,NASDAQ,2362.42,2336.82,2387.37,2329.46,564728104,9.81,0.09,12.36,8.93,116,3696,4563,1.29,146.32,50.2,2024.01,296.67,6736,2.79,20,91.22,12162,2001
2001-02-06,Dow Jones,1286.85,1333.52,1380.1,1264.2199999999998,530867691,6.88,2.3,7.7,5.52,64,18069,2618,1.06,95.1,116.32,1631.19,296.61,5907,3.1,43,24.45,6339,2001
2001-02-07,Dow Jones,2638.52,2684.33,2713.5,2594.46,621099218,9.9,4.2,14.48,8.84,59,4631,1837,1.28,113.19,109.52,1233.66,343.33,9392,3.38,26,69.53,12509,2001
2001-02-08,NASDAQ,2244.87,2219.63,2271.79,2198.57,597120493,9.52,1.21,5.53,8.2,110,19959,2030,1.06,95.81,35.31,2090.89,396.99,145,2.05,46,24.34,4421,2001
