date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2002-01-01,S&P 500,3989.78,4021.93,4030.730000000001,3954.27,233230101,0.4,2.0,3.84,6.94,77,25196,2588,1.0,145.56,29.37,1298.87,131.84,1064,8.56,26,31.65,9549,2002
2002-01-02,NASDAQ,2895.24,2880.65,2932.41,2870.21,110603623,-4.76,5.83,7.72,2.52,91,21554,3893,1.08,99.48,50.51,1999.52,466.64,1087,4.2,36,50.37,11732,2002
2002-01-03,NASDAQ,1231.38,1246.96,1259.56,1216.0400000000002,37742450,3.44,6.77,5.67,2.68,110,2420,2937,1.18,100.21,83.84,1478.87,157.14,8904,3.55,48,58.49,5217,2002
2002-01-04,Dow Jones,4831.16,4834.889999999999,4857.599999999999,4807.4,253643283,-3.14,9.97,11.94,3.4,82,10376,2486,1.23,98.95,73.79,806.84,312.9,7466,6.97,24,22.13,13190,2002
2002-01-05,S&P 500,4770.9,4788.61,4807.9,4748.429999999999,360091743,-3.8,0.31,3.39,6.95,104,22496,1941,1.34,90.74,147.3,2394.34,139.76,2230,5.13,38,68.26,14188,2002
2002-01-06,Dow Jones,4140.76,4159.030000000001,4208.130000000001,4105.33,304921711,6.33,0.91,13.93,8.95,86,6919,1302,1.35,110.15,142.93,1054.4,278.88,7321,3.37,29,80.26,14592,2002
2002-01-07,S&P 500,4965.31,4978.18,4997.7300000000005,4934.14,376520582,-4.86,0.77,13.64,6.91,96,9660,4869,1.16,134.91,71.05,1052.68,219.71,9568,0.58,42,57.77,11902,2002
2002-01-08,NASDAQ,3177.93,3154.54,3181.93,3122.32,46131515,9.39,3.98,13.81,8.36,85,6672,829,0.85,129.85,123.26,2191.22,268.04,5066,1.67,13,52.34,8220,2002
2002-01-09,NASDAQ,4851.07,4804.969999999999,4855.56,4769.27,562588422,2.73,8.22,11.61,5.66,77,6430,416,1.19,143.02,102.73,1370.35,318.01,3606,7.72,33,29.53,14147,2002
2002-01-10,NASDAQ,1302.42,1297.98,1331.96,1283.35,51149267,9.75,8.44,3.39,1.15,59,4308,175,1.13,104.9,51.61,1357.9,283.78,7819,9.21,31,90.97,14637,2002
2002-01-11,NASDAQ,2462.72,2501.82,2531.7899999999995,2446.6,18501784,-4.13,7.37,7.7,1.45,72,13472,3146,0.95,120.06,141.05,1858.07,109.27,8520,1.69,30,75.47,14524,2002
2002-01-12,Dow Jones,1901.53,1908.48,1929.42,1879.63,458832556,3.75,8.97,3.71,5.77,54,12007,303,0.81,133.66,53.74,900.37,445.38,1118,5.69,48,48.08,9630,2002
