date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2003-01-01,NASDAQ,3689.84,3714.04,3757.65,3680.51,391784860,-0.07,1.21,9.13,1.37,55,15392,2555,1.09,135.73,122.93,1982.51,293.29,1716,1.38,47,69.79,6017,2003
2003-01-02,S&P 500,4908.03,4863.259999999999,4922.48,4854.4,579423941,2.4,4.66,13.78,2.02,107,26491,1900,0.93,111.94,36.63,1018.87,107.46,4778,2.82,26,45.13,7211,2003
2003-01-03,NASDAQ,1407.57,1442.82,1447.13,1363.9199999999998,386255537,8.74,0.03,13.87,2.04,96,8700,4732,1.46,88.35,71.22,1865.12,391.97,5078,9.64,48,13.08,14895,2003
2003-01-04,Dow Jones,1033.28,1003.1,1080.11,965.96,420382712,9.33,4.02,2.71,4.05,54,6132,2183,1.47,126.23,73.2,1691.04,474.61,4000,4.16,17,31.69,2221,2003
2003-01-05,NASDAQ,2734.33,2771.77,2790.68,2701.36,399146186,8.91,1.06,3.04,9.0,110,14200,1505,1.16,120.11,106.38,2359.56,162.95,970,9.34,25,5.82,682,2003
2003-01-06,Dow Jones,1370.5,1355.75,1399.32,1335.41,779671335,-1.06,0.24,5.19,2.46,105,2362,3788,1.13,144.36,56.21,1973.26,127.17,399,1.04,34,32.0,12298,2003
2003-01-07,S&P 500,3993.54,4015.81,4055.41,3980.44,297948169,-1.51,8.24,5.32,4.45,84,18117,2752,1.43,99.59,128.97,1681.41,206.08,2369,7.66,27,6.99,12660,2003
2003-01-08,NASDAQ,4658.19,4640.11,4674.41,4591.139999999999,542333878,-0.54,9.16,3.23,3.46,62,20009,4638,1.22,82.26,46.97,1861.16,439.92,9225,0.93,0,92.55,9795,2003
2003-01-09,S&P 500,2736.08,2776.67,2812.48,2696.22,240244891,1.62,2.08,7.05,7.98,75,5211,1286,0.99,97.83,122.59,1553.88,142.46,4428,1.97,33,10.26,3496,2003
2003-01-10,Dow Jones,2034.85,1997.51,2041.62,1982.42,761356618,-0.29,5.39,9.64,0.98,113,2957,4233,1.1,109.95,130.47,1664.29,386.07,2325,6.16,25,81.75,7629,2003
2003-01-11,Dow Jones,2737.61,2705.46,2752.17,2663.08,678843150,0.61,2.78,9.52,2.37,60,25085,2239,1.39,90.88,45.11,2027.99,125.18,173,4.34,5,90.62,10306,2003
2003-01-12,Dow Jones,3893.79,3893.09,3901.03,3855.14,366200903,4.31,4.94,9.06,2.5,111,11696,2778,1.4,148.58,125.22,933.19,113.12,7555,6.67,49,46.82,9239,2003
2003-01-13,S&P 500,1036.22,994.41,1076.78,979.56,916533267,6.44,4.37,6.4,9.93,96,13339,3894,1.46,95.57,112.79,1846.07,456.52,7132,9.73,48,5.49,10162,2003
2003-01-14,S&P 500,3357.82,3327.42,3368.9500000000003,3306.09,799752625,6.03,2.69,11.18,5.92,119,7199,2819,1.0,127.45,133.67,949.97,408.22,1469,0.53,45,59.62,8017,2003
2003-01-15,S&P 500,3453.17,3497.55,3533.42,3443.87,502450170,7.22,7.0,12.74,1.82,107,13667,4702,1.28,111.79,86.3,2253.63,339.43,1555,1.92,24,23.55,14420,2003
2003-01-16,S&P 500,3550.75,3598.4,3645.56,3545.2,711359360,-4.52,1.26,6.5,3.09,59,8959,2326,0.85,118.86,50.4,2402.19,168.8,2365,6.4,16,17.75,14442,2003
2003-01-17,Dow Jones,1968.09,1955.72,1994.48,1919.58,630381212,-4.28,0.53,3.11,2.09,65,7657,2431,1.31,145.29,138.57,2126.34,211.54,7809,8.97,25,56.72,2875,2003
2003-01-18,Dow Jones,3856.21,3898.54,3925.54,3842.83,802355159,6.84,7.68,5.85,1.68,61,12553,4123,1.19,117.21,122.71,2020.65,119.44,6863,7.98,20,35.7,12888,2003
2003-01-19,NASDAQ,1365.57,1370.05,1393.1,1324.57,440876455,3.0,6.66,3.79,8.07,99,3214,4550,0.97,101.37,22.73,2404.37,358.15,2948,4.66,31,73.06,13479,2003
2003-01-20,NASDAQ,1797.08,1774.05,1813.37,1724.27,670698146,3.67,4.99,8.08,5.21,64,21430,3468,1.26,95.46,142.12,1171.5,374.43,8573,7.45,24,59.17,7884,2003
2003-01-21,S&P 500,4509.88,4530.12,4553.9,4506.05,225741600,-4.21,4.68,4.03,6.5,108,27717,4057,0.89,142.44,143.31,1189.02,230.72,813,2.08,31,82.95,2577,2003
2003-01-22,Dow Jones,3954.89,3970.78,4000.92,3931.24,16246163,-1.17,4.97,8.02,3.65,119,7864,587,1.03,149.07,66.19,1617.73,235.37,7565,0.14,40,5.93,6790,2003
2003-01-23,Dow Jones,1054.98,1103.89,1153.19,1014.88,475550712,4.58,4.37,4.87,5.76,111,15756,378,1.08,97.63,21.3,812.69,351.59,7306,5.7,18,23.57,6272,2003
2003-01-24,Dow Jones,1993.51,1970.01,2040.4,1930.56,383321359,7.89,3.93,11.6,2.95,111,24103,2691,1.34,130.54,91.83,2440.62,478.27,5536,8.13,1,56.74,1479,2003
2003-01-25,NASDAQ,1857.63,1874.84,1917.95,1819.63,74650760,8.75,5.0,2.36,3.43,99,12498,749,1.02,115.4,138.78,854.83,257.88,8027,4.33,34,88.05,7898,2003
2003-01-26,NASDAQ,2083.23,2038.43,2127.69,2020.98,94366238,2.51,5.29,9.21,6.7,103,24520,3078,0.83,128.9,36.18,1813.39,297.44,9229,5.69,15,81.36,3205,2003
2003-01-27,Dow Jones,1990.24,1951.6,2013.63,1928.91,184127440,3.18,6.92,4.2,1.93,103,10083,454,0.93,147.5,96.77,1401.76,379.31,915,4.22,15,67.99,6123,2003
2003-01-28,Dow Jones,1250.11,1200.5,1282.9799999999998,1170.75,78041210,7.5,7.11,2.01,6.36,77,24425,2342,1.23,99.33,115.13,975.04,236.93,1875,5.14,32,57.45,4133,2003
2003-01-29,Dow Jones,2835.76,2885.71,2930.46,2787.0600000000004,748548446,3.06,3.78,13.3,8.6,100,9774,4999,0.81,131.8,37.51,841.85,447.54,7428,8.84,49,63.18,11623,2003
2003-01-30,NASDAQ,3930.93,3961.16,3980.81,3914.55,443056767,2.75,4.14,10.73,1.64,82,25369,2580,1.35,110.66,86.73,1246.11,438.47,9470,4.78,23,21.44,5057,2003
2003-01-31,Dow Jones,3426.93,3455.6,3503.69,3380.77,46396735,8.58,3.74,3.29,9.03,50,12771,657,1.43,125.68,31.54,981.36,369.71,5376,0.07,30,59.56,10176,2003
2003-02-01,Dow Jones,3691.49,3692.46,3713.25,3678.02,125092975,6.85,5.37,10.63,1.25,118,3335,3586,1.15,108.47,92.56,2398.56,314.77,3893,8.0,41,49.43,7608,2003
2003-02-02,S&P 500,1324.6,1304.61,1354.65,1255.16,780869462,8.64,4.53,9.95,3.81,50,8513,261,1.3,129.58,77.48,1216.09,493.41,3014,6.18,22,38.51,7980,2003
2003-02-03,S&P 500,4805.96,4771.09,4841.45,4737.58,563923205,-1.73,8.9,8.15,6.3,104,24839,798,1.12,103.63,54.41,960.02,380.95,7890,7.3,16,88.78,8741,2003
2003-02-04,NASDAQ,4353.97,4332.4400000000005,4401.5,4309.26,921068765,2.87,6.96,7.45,5.81,94,13739,2073,1.02,114.18,130.9,2108.46,357.29,6605,9.01,32,82.96,13815,2003
2003-02-05,Dow Jones,4220.36,4207.96,4232.589999999999,4177.29,60985718,7.64,8.99,13.53,1.42,89,4705,3644,0.92,129.62,69.63,1504.23,450.73,4672,2.86,36,7.77,3161,2003
2003-02-06,Dow Jones,4291.94,4317.57,4354.88,4278.31,339757126,-3.33,7.09,5.19,8.09,110,14353,3877,1.16,82.99,110.98,2234.23,322.0,1267,5.03,35,98.57,8916,2003
2003-02-07,S&P 500,4730.84,4734.81,4760.85,4717.13,897378103,6.92,9.71,7.18,9.74,85,2654,2305,1.45,102.97,122.79,2225.33,197.17,8548,6.02,18,23.08,7876,2003
2003-02-08,NASDAQ,3177.02,3134.77,3190.45,3129.09,95964079,-2.26,6.36,6.28,2.22,73,21992,591,1.42,118.23,43.22,2487.05,155.11,7605,3.45,20,21.61,7273,2003
2003-02-09,S&P 500,1801.13,1752.93,1839.96,1747.23,605875495,7.12,9.64,12.03,9.0,63,11036,2092,1.44,85.19,35.48,2166.51,288.41,2535,8.46,38,94.39,4531,2003
2003-02-10,S&P 500,3467.13,3427.36,3494.74,3409.98,38892713,4.18,1.58,13.91,5.79,50,4423,1132,1.48,129.22,21.02,1164.06,306.26,1848,6.98,39,44.54,10183,2003
2003-02-11,S&P 500,3971.53,3962.58,4004.58,3924.440000000001,393166381,-2.1,0.52,13.05,9.39,96,10546,3383,0.92,136.93,59.76,1796.96,431.08,8423,7.33,18,80.56,9192,2003
2003-02-12,S&P 500,3951.67,3994.99,4011.14,3921.27,762025633,2.1,5.79,12.37,2.17,70,22968,3610,0.9,91.43,126.07,1694.63,155.79,2774,8.08,7,28.89,7944,2003
2003-02-13,Dow Jones,3085.8,3099.54,3123.6,3080.67,377542475,5.23,9.83,14.83,8.02,88,7762,4874,1.1,131.34,120.46,1663.92,372.49,2551,2.58,25,87.33,492,2003
2003-02-14,Dow Jones,1273.83,1304.01,1334.88,1231.22,850564731,4.51,4.18,11.06,1.07,52,4368,885,1.28,125.23,133.33,1304.57,221.65,4514,7.46,40,83.25,2115,2003
