date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2005-01-01,NASDAQ,2866.77,2836.49,2890.56,2798.26,354635517,8.45,2.82,14.67,3.64,66,13953,462,0.97,116.13,147.38,2293.87,196.53,1318,4.9,8,94.42,12332,2005
2005-01-02,NASDAQ,2928.53,2899.88,2955.36,2898.7000000000003,40076502,-2.8,6.71,12.99,7.24,52,20781,2745,0.92,146.23,109.46,2087.12,415.78,805,7.82,24,62.87,2414,2005
2005-01-03,NASDAQ,4363.63,4381.24,4419.8,4344.86,882603669,-1.55,2.18,13.12,9.6,111,13566,1632,1.15,108.57,139.9,1975.73,482.8,9573,5.73,21,4.68,3662,2005
2005-01-04,S&P 500,1884.95,1875.45,1918.01,1869.91,405155412,-3.39,6.77,9.5,9.82,70,23854,4852,1.32,139.37,131.18,2460.71,206.66,4637,8.84,22,19.2,5045,2005
2005-01-05,S&P 500,2523.97,2567.12,2587.59,2506.35,144483573,-2.91,0.91,8.74,6.56,82,8971,1483,0.96,129.05,82.4,1686.22,440.43,710,4.49,36,43.48,12879,2005
2005-01-06,Dow Jones,4233.62,4192.52,4278.39,4183.839999999999,47425245,2.69,1.47,7.28,2.34,50,17995,766,1.44,147.74,63.36,810.75,334.61,5154,6.96,9,95.91,11322,2005
2005-01-07,S&P 500,4294.49,4295.639999999999,4303.77,4275.82,534711818,-0.18,5.09,12.64,1.63,119,26259,2912,0.92,110.01,102.19,1529.36,258.0,9944,4.66,16,9.56,10124,2005
2005-01-08,S&P 500,2538.44,2580.29,2630.07,2517.56,198802947,1.35,9.22,4.37,9.49,105,21964,2575,1.19,143.53,89.36,964.17,429.44,8075,8.57,12,79.16,13384,2005
2005-01-09,Dow Jones,2836.5,2876.91,2882.85,2821.47,47392800,9.74,8.6,2.73,4.62,53,24865,3200,1.34,119.82,23.36,997.97,448.12,9193,9.94,3,19.2,7715,2005
2005-01-10,Dow Jones,2213.14,2178.79,2213.89,2145.96,394873262,-2.65,9.69,14.32,2.35,71,18959,3501,0.95,113.31,144.45,1233.33,213.06,4146,2.43,31,50.83,6500,2005
2005-01-11,Dow Jones,4730.22,4716.88,4774.72,4670.9400000000005,871699083,3.11,6.5,2.05,9.37,107,28675,3205,1.01,101.4,94.13,1448.32,417.79,8136,4.74,27,76.72,2156,2005
2005-01-12,S&P 500,1474.58,1486.49,1498.74,1454.55,731579272,-3.52,6.76,14.7,1.49,93,29981,2651,0.84,118.69,133.68,1618.72,119.86,7631,0.81,29,69.28,12298,2005
2005-01-13,S&P 500,4735.0,4700.94,4771.48,4691.32,187164639,-0.22,6.25,11.48,7.43,106,20826,3999,1.46,120.08,115.5,1088.69,267.07,7414,1.41,45,77.6,4516,2005
2005-01-14,Dow Jones,3735.47,3782.27,3822.82,3721.93,284688138,2.91,6.23,6.27,6.44,89,771,2251,1.14,142.89,64.31,1329.92,127.91,8462,9.29,39,81.38,12759,2005
2005-01-15,NASDAQ,3126.29,3167.76,3210.71,3083.59,82704164,9.2,1.47,11.07,1.33,105,26199,487,0.85,129.28,137.15,1270.12,217.53,7980,5.44,20,30.64,14196,2005
2005-01-16,Dow Jones,1130.64,1097.34,1180.22,1068.7600000000002,596318935,0.87,5.44,12.63,3.72,112,12671,3261,1.38,137.85,122.75,1420.92,480.15,7222,3.95,14,36.47,10662,2005
2005-01-17,NASDAQ,2902.38,2864.5,2917.08,2841.75,721506630,-4.03,3.86,5.19,1.92,88,26303,2480,1.2,133.84,75.87,983.58,393.89,2499,6.71,2,81.59,1466,2005
2005-01-18,NASDAQ,2630.99,2589.53,2666.5,2582.05,260665991,0.82,4.43,12.02,6.24,56,17073,476,0.84,99.37,129.26,1475.48,402.24,5055,5.6,16,3.96,7524,2005
2005-01-19,Dow Jones,1644.88,1685.8200000000002,1691.59,1622.39,451019552,-2.81,5.24,12.46,5.03,63,25621,4435,1.12,94.41,55.3,1742.4,153.79,1474,2.89,14,51.49,4061,2005
2005-01-20,Dow Jones,3625.64,3595.0,3645.98,3581.08,359156760,-1.55,1.28,5.24,0.54,67,11033,4377,1.1,98.09,107.19,964.81,331.47,1696,2.27,32,92.05,9463,2005
2005-01-21,Dow Jones,4884.6,4876.2300000000005,4927.0,4829.070000000001,813687232,4.27,3.59,2.55,9.77,104,12658,1380,0.9,90.26,34.9,1685.31,255.53,9287,5.9,4,88.51,2339,2005
2005-01-22,S&P 500,3248.76,3243.65,3267.1400000000003,3199.4500000000003,980521154,-3.99,0.63,4.65,3.82,105,20898,843,1.09,107.02,132.55,2085.05,393.67,6384,1.88,7,80.45,9207,2005
2005-01-23,NASDAQ,3859.01,3868.91,3898.460000000001,3854.81,344525735,1.97,9.8,4.61,2.95,106,8642,3586,1.0,125.77,114.83,814.01,162.83,845,1.39,8,2.25,5343,2005
2005-01-24,S&P 500,1273.8,1230.97,1298.99,1205.14,211344475,4.14,1.19,2.85,2.61,107,16649,1168,1.29,117.59,39.83,880.8,212.77,5584,3.18,25,88.78,13615,2005
2005-01-25,S&P 500,2670.67,2643.35,2702.9700000000003,2632.1,851745952,1.33,2.59,11.44,2.01,74,5443,1108,0.8,127.55,22.77,1593.01,459.43,9034,8.61,1,91.18,9652,2005
2005-01-26,Dow Jones,1465.43,1508.5800000000002,1557.2200000000005,1444.89,639356525,-4.71,8.91,6.94,9.99,119,21750,4793,0.87,104.93,70.68,2283.72,167.91,9785,0.37,36,66.4,184,2005
2005-01-27,S&P 500,3451.18,3492.02,3494.81,3407.34,202291776,9.78,4.83,13.5,3.3,52,17652,4396,1.44,94.37,107.79,2496.24,352.96,3620,8.33,35,29.96,5131,2005
